SHA-1,仓库对象路径,字节大小,类型,Java1.20.1逻辑路径,Java1.20.1 Sound Event,解析状态
000c82756fd54e40cb236199f2b479629d0aca2f,00/000c82756fd54e40cb236199f2b479629d0aca2f,8565,ogg,minecraft/sounds/mob/skeleton/step3.ogg,entity.skeleton.step,已由Minecraft Java 1.20.1 asset index解析
0013485e9449e914908ca89a8dc1369eff037a26,00/0013485e9449e914908ca89a8dc1369eff037a26,16202,ogg,minecraft/sounds/block/cherrywood_trapdoor/toggle1.ogg,block.cherry_wood_trapdoor.close;block.cherry_wood_trapdoor.open,已由Minecraft Java 1.20.1 asset index解析
0027d19bb0cd9c914d3ac148aeee6316d9786341,00/0027d19bb0cd9c914d3ac148aeee6316d9786341,17235,ogg,minecraft/sounds/block/powder_snow/break5.ogg,block.powder_snow.break;block.powder_snow.place,已由Minecraft Java 1.20.1 asset index解析
00340157e51d29fdeba7258fd880780f766d77dc,00/00340157e51d29fdeba7258fd880780f766d77dc,15539,ogg,minecraft/sounds/block/tuff/break3.ogg,block.tuff.break;block.tuff.place,已由Minecraft Java 1.20.1 asset index解析
003409183ca2b8a8a140bfeb6390d1a9edc8c88b,00/003409183ca2b8a8a140bfeb6390d1a9edc8c88b,5278,ogg,minecraft/sounds/block/iron_trapdoor/close2.ogg,block.iron_trapdoor.close,已由Minecraft Java 1.20.1 asset index解析
006dada2a21571fc27e6a3781a8c245ea2f0a7fc,00/006dada2a21571fc27e6a3781a8c245ea2f0a7fc,14068,ogg,minecraft/sounds/block/candle/ambient6.ogg,block.candle.ambient,已由Minecraft Java 1.20.1 asset index解析
0076a7bdf840e166559cd82e8f58e633c59382ea,00/0076a7bdf840e166559cd82e8f58e633c59382ea,21903,ogg,minecraft/sounds/item/plant/crop2.ogg,item.crop.plant,已由Minecraft Java 1.20.1 asset index解析
007a96cf5c6585babb020381a1075912df2279f4,00/007a96cf5c6585babb020381a1075912df2279f4,22727,ogg,minecraft/sounds/block/netherwart/step1.ogg,block.wart_block.fall;block.wart_block.hit;block.wart_block.step,已由Minecraft Java 1.20.1 asset index解析
007f04ca456cfc7c0e877352f01a7aa77dff636c,00/007f04ca456cfc7c0e877352f01a7aa77dff636c,7127,ogg,minecraft/sounds/mob/polarbear/step1.ogg,entity.polar_bear.step,已由Minecraft Java 1.20.1 asset index解析
0084f65e6832508990fb3dbf010daded53538c03,00/0084f65e6832508990fb3dbf010daded53538c03,29155,ogg,,,未在Java 1.20.1 asset index中解析（可能来自其他版本/历史缓存）
0087759fe01bdfad15071766d42a264aa0aafedd,00/0087759fe01bdfad15071766d42a264aa0aafedd,20170,ogg,minecraft/sounds/mob/turtle/hurt1.ogg,entity.turtle.hurt,已由Minecraft Java 1.20.1 asset index解析
00b38fae5d28d99514a3e73a913af16359b12b7a,00/00b38fae5d28d99514a3e73a913af16359b12b7a,7356,ogg,minecraft/sounds/mob/blaze/hit2.ogg,entity.blaze.hurt,已由Minecraft Java 1.20.1 asset index解析
00b9b316015118f4b9be09e02bca0859519cd0aa,00/00b9b316015118f4b9be09e02bca0859519cd0aa,14535,ogg,minecraft/sounds/block/sculk/charge2.ogg,block.sculk.charge,已由Minecraft Java 1.20.1 asset index解析
00c4daa73f67f90bb994c0009dd35d02a3c413b4,00/00c4daa73f67f90bb994c0009dd35d02a3c413b4,15824,ogg,minecraft/sounds/block/netherite/break2.ogg,block.netherite_block.break;block.netherite_block.place,已由Minecraft Java 1.20.1 asset index解析
00e06362a31ad7094e452c5bcea837b061825cb0,00/00e06362a31ad7094e452c5bcea837b061825cb0,7931,ogg,minecraft/sounds/mob/slime/big2.ogg,block.slime_block.break;block.slime_block.place;entity.magma_cube.death;entity.magma_cube.hurt;entity.parrot.imitate.slime;entity.slime.death;entity.slime.hurt;entity.slime.jump;entity.slime.squish,已由Minecraft Java 1.20.1 asset index解析
0113fbf3e047f4fa4ef680ae7781326427e30f02,01/0113fbf3e047f4fa4ef680ae7781326427e30f02,19182,ogg,minecraft/sounds/entity/pufferfish/hurt2.ogg,entity.puffer_fish.hurt,已由Minecraft Java 1.20.1 asset index解析
0126c686db6b87431d9a9b31dbafc31af8f6a716,01/0126c686db6b87431d9a9b31dbafc31af8f6a716,46003,ogg,minecraft/sounds/block/conduit/short4.ogg,block.conduit.ambient.short,已由Minecraft Java 1.20.1 asset index解析
0130bd76ebc1d41f720c6c05762eedd08d6a57ad,01/0130bd76ebc1d41f720c6c05762eedd08d6a57ad,12936,ogg,minecraft/sounds/block/cave_vines/break2.ogg,block.cave_vines.break;block.cave_vines.place,已由Minecraft Java 1.20.1 asset index解析
013b1518d41176f1884ef17944104a8473d408ce,01/013b1518d41176f1884ef17944104a8473d408ce,28425,ogg,minecraft/sounds/block/honeyblock/slide2.ogg,block.honey_block.slide,已由Minecraft Java 1.20.1 asset index解析
01564e4a93458fdc78544743528f31bd0ee1335e,01/01564e4a93458fdc78544743528f31bd0ee1335e,664321,png,realms/textures/gui/images/3.png,,已由Minecraft Java 1.20.1 asset index解析
0156e36974e29237c045e77040088235f47e1841,01/0156e36974e29237c045e77040088235f47e1841,39060,ogg,minecraft/sounds/entity/glow_squid/hurt2.ogg,entity.glow_squid.hurt,已由Minecraft Java 1.20.1 asset index解析
015b9554db0e167ba36154c5a1f7d4f9e8f95e29,01/015b9554db0e167ba36154c5a1f7d4f9e8f95e29,8746,ogg,minecraft/sounds/mob/parrot/fly3.ogg,entity.parrot.fly,已由Minecraft Java 1.20.1 asset index解析
015f37d3f2adec2f62dfea46fa1cb9dc1262900d,01/015f37d3f2adec2f62dfea46fa1cb9dc1262900d,23058,ogg,minecraft/sounds/block/powder_snow/step7.ogg,block.powder_snow.fall;block.powder_snow.hit;block.powder_snow.step,已由Minecraft Java 1.20.1 asset index解析
0161e1249adc4244fe3a83675d2b9533209948f7,01/0161e1249adc4244fe3a83675d2b9533209948f7,5763,ogg,minecraft/sounds/item/shield/block5.ogg,item.shield.block,已由Minecraft Java 1.20.1 asset index解析
01644fe4c50b2ac1c68897171d483bd9ef8bb482,01/01644fe4c50b2ac1c68897171d483bd9ef8bb482,18474,ogg,,,未在Java 1.20.1 asset index中解析（可能来自其他版本/历史缓存）
01699b3becf01306b755f36b5f2a457738c334e5,01/01699b3becf01306b755f36b5f2a457738c334e5,573720,json/text,,,未在Java 1.20.1 asset index中解析；本对象不是已识别OGG音频
01b151d31f674044b1c5cd455d00eb4e481ac686,01/01b151d31f674044b1c5cd455d00eb4e481ac686,14758,ogg,minecraft/sounds/block/cherry_wood_hanging_sign/break3.ogg,block.cherry_wood_hanging_sign.break;block.cherry_wood_hanging_sign.place,已由Minecraft Java 1.20.1 asset index解析
01b562613c6fb2500fd94ac821912ce82c4e7d83,01/01b562613c6fb2500fd94ac821912ce82c4e7d83,42077,ogg,,,未在Java 1.20.1 asset index中解析（可能来自其他版本/历史缓存）
01c5ba2d1645698cc2f6e462982bd4513a3e0d93,01/01c5ba2d1645698cc2f6e462982bd4513a3e0d93,13570,ogg,minecraft/sounds/block/bamboo/sapling_place1.ogg,block.bamboo_sapling.break;block.bamboo_sapling.place;block.cherry_sapling.break;block.cherry_sapling.place;block.crop.break,已由Minecraft Java 1.20.1 asset index解析
01d108e23f5c3a0b6905de56c0389d84602cd6f9,01/01d108e23f5c3a0b6905de56c0389d84602cd6f9,17188,ogg,minecraft/sounds/block/moss/step3.ogg,block.moss.fall;block.moss.hit;block.moss.step;block.moss_carpet.fall;block.moss_carpet.hit;block.moss_carpet.step,已由Minecraft Java 1.20.1 asset index解析
01db5c538d2de459f02047208bebf00e6a085ef9,01/01db5c538d2de459f02047208bebf00e6a085ef9,18333,ogg,minecraft/sounds/mob/turtle/hurt5.ogg,entity.turtle.hurt,已由Minecraft Java 1.20.1 asset index解析
01e7eb96475342f7418a19c2a274632bdea17d98,01/01e7eb96475342f7418a19c2a274632bdea17d98,9181,ogg,,,未在Java 1.20.1 asset index中解析（可能来自其他版本/历史缓存）
01fc32d87db50d42e67519529c9e5b911652fcc7,01/01fc32d87db50d42e67519529c9e5b911652fcc7,14305,ogg,minecraft/sounds/block/candle/ambient1.ogg,block.candle.ambient,已由Minecraft Java 1.20.1 asset index解析
01fedceeef03d06f3f419b371c0dfa6e1dca0939,01/01fedceeef03d06f3f419b371c0dfa6e1dca0939,41799,ogg,minecraft/sounds/mob/fox/sleep4.ogg,entity.fox.sleep,已由Minecraft Java 1.20.1 asset index解析
02073c284f025653e55f9cde25a4a62723d395fa,02/02073c284f025653e55f9cde25a4a62723d395fa,8909,ogg,minecraft/sounds/mob/ghast/moan2.ogg,entity.ghast.ambient;entity.parrot.imitate.ghast,已由Minecraft Java 1.20.1 asset index解析
0208597870daf05e8bde08d4aac04989c9ebedf2,02/0208597870daf05e8bde08d4aac04989c9ebedf2,7612,ogg,minecraft/sounds/block/iron_door/open2.ogg,block.iron_door.open,已由Minecraft Java 1.20.1 asset index解析
02219a4525e2276a2cf78e5ec6b7e141db1e0d4e,02/02219a4525e2276a2cf78e5ec6b7e141db1e0d4e,92888,ogg,minecraft/sounds/mob/cat/purr3.ogg,entity.cat.purr,已由Minecraft Java 1.20.1 asset index解析
0221ca291fe1fa9c255c26226636cf0ad50b453f,02/0221ca291fe1fa9c255c26226636cf0ad50b453f,23914,ogg,minecraft/sounds/mob/panda/death3.ogg,entity.panda.death,已由Minecraft Java 1.20.1 asset index解析
0252ca6b7a26ceeda651242010cf3a98a59b6e5f,02/0252ca6b7a26ceeda651242010cf3a98a59b6e5f,15439,ogg,minecraft/sounds/block/spore_blossom/break5.ogg,block.spore_blossom.break;block.spore_blossom.place,已由Minecraft Java 1.20.1 asset index解析
029d146dc4bf75c80ff0cec2dfb361c7d124dcd8,02/029d146dc4bf75c80ff0cec2dfb361c7d124dcd8,577101,json/text,,,未在Java 1.20.1 asset index中解析；本对象不是已识别OGG音频
02bd11acbb9717286afd8cd5e2042da90ed21998,02/02bd11acbb9717286afd8cd5e2042da90ed21998,20746,ogg,minecraft/sounds/mob/axolotl/death1.ogg,entity.axolotl.death,已由Minecraft Java 1.20.1 asset index解析
02e04a1bba845ed4b3c0d006ebffc894c3588604,02/02e04a1bba845ed4b3c0d006ebffc894c3588604,183867,ogg,minecraft/sounds/ambient/nether/basalt_deltas/active2.ogg,,已由Minecraft Java 1.20.1 asset index解析
02e77c97360b82170ee58723ac2519fcd79b821e,02/02e77c97360b82170ee58723ac2519fcd79b821e,5239,ogg,minecraft/sounds/entity/shulker/open5.ogg,entity.shulker.open,已由Minecraft Java 1.20.1 asset index解析
03063be15a77cc3f6815ec98090e351178190b33,03/03063be15a77cc3f6815ec98090e351178190b33,7394,ogg,minecraft/sounds/mob/cow/step4.ogg,entity.cow.step,已由Minecraft Java 1.20.1 asset index解析
030a3d36cccac21197db2ec078f96cbc2caa1311,03/030a3d36cccac21197db2ec078f96cbc2caa1311,12877,ogg,minecraft/sounds/block/brewing_stand/brew2.ogg,block.brewing_stand.brew;entity.villager.work_cleric,已由Minecraft Java 1.20.1 asset index解析
030a7bf5b32c5b3f821adb35b7601705a45d8420,03/030a7bf5b32c5b3f821adb35b7601705a45d8420,12618,ogg,minecraft/sounds/note/bit.ogg,block.note_block.bit,已由Minecraft Java 1.20.1 asset index解析
03252f780f1e85ac6202567fca515f7afebc9cf0,03/03252f780f1e85ac6202567fca515f7afebc9cf0,18672,ogg,minecraft/sounds/mob/zoglin/hurt2.ogg,entity.zoglin.hurt,已由Minecraft Java 1.20.1 asset index解析
032893949d88ab82fc1f69f9c4ea14d83d05387e,03/032893949d88ab82fc1f69f9c4ea14d83d05387e,14006,ogg,minecraft/sounds/entity/boat/paddle_water5.ogg,entity.boat.paddle_water,已由Minecraft Java 1.20.1 asset index解析
0331eec018c422631e6cb00960eea3e2c5c6e559,03/0331eec018c422631e6cb00960eea3e2c5c6e559,5110,ogg,minecraft/sounds/entity/shulker/open2.ogg,entity.shulker.open,已由Minecraft Java 1.20.1 asset index解析
0349ce87fe856ddf8fdd94a559bb29061b002b6c,03/0349ce87fe856ddf8fdd94a559bb29061b002b6c,5789,ogg,minecraft/sounds/mob/zombified_piglin/zpigangry2.ogg,entity.zombified_piglin.angry,已由Minecraft Java 1.20.1 asset index解析
0350aeae0132a9a0b08532250861fbe2208d9f78,03/0350aeae0132a9a0b08532250861fbe2208d9f78,14777,ogg,minecraft/sounds/block/sculk_sensor/sculk_clicking4.ogg;minecraft/sounds/mob/warden/tendril_clicks_4.ogg,block.sculk_sensor.clicking;entity.parrot.imitate.warden;entity.warden.tendril_clicks,已由Minecraft Java 1.20.1 asset index解析
0350e909da2d06ff930e61307f019e029d7dff0f,03/0350e909da2d06ff930e61307f019e029d7dff0f,23215,ogg,minecraft/sounds/mob/dolphin/eat2.ogg,entity.dolphin.eat,已由Minecraft Java 1.20.1 asset index解析
035df7547acd8451e76b4f26fc01db3baeb6d006,03/035df7547acd8451e76b4f26fc01db3baeb6d006,19389,ogg,minecraft/sounds/block/grindstone/grindstone1.ogg,block.grindstone.use;entity.villager.work_weaponsmith,已由Minecraft Java 1.20.1 asset index解析
035f6962f2204b3b7d7cb9c3f17f8df1141cb9c1,03/035f6962f2204b3b7d7cb9c3f17f8df1141cb9c1,21122,ogg,minecraft/sounds/mob/panda/eat1.ogg,entity.panda.eat,已由Minecraft Java 1.20.1 asset index解析
0369a1236a4b9ca219fd3ad7d19d0b5237510b1e,03/0369a1236a4b9ca219fd3ad7d19d0b5237510b1e,13252,ogg,minecraft/sounds/random/bowhit3.ogg,block.tripwire.detach;entity.arrow.hit;item.crossbow.hit,已由Minecraft Java 1.20.1 asset index解析
036b84d1cb5abfe2bfea879522a7612e1e383027,03/036b84d1cb5abfe2bfea879522a7612e1e383027,8156,ogg,minecraft/sounds/mob/parrot/fly1.ogg,entity.parrot.fly,已由Minecraft Java 1.20.1 asset index解析
037b9fb7f74381f354739d015193dc4a6897f620,03/037b9fb7f74381f354739d015193dc4a6897f620,5574,ogg,minecraft/sounds/note/bassattack.ogg,block.note_block.bass,已由Minecraft Java 1.20.1 asset index解析
038aed8ef08d5f6eb01712b843cb5e128463efe1,03/038aed8ef08d5f6eb01712b843cb5e128463efe1,19481,ogg,minecraft/sounds/block/nether_bricks/break4.ogg,block.nether_bricks.break;block.nether_bricks.place,已由Minecraft Java 1.20.1 asset index解析
0390dc9708e60e1cb542d702fc5451ef214eb5ac,03/0390dc9708e60e1cb542d702fc5451ef214eb5ac,49453,ogg,minecraft/sounds/mob/camel/sit2.ogg,entity.camel.sit,已由Minecraft Java 1.20.1 asset index解析
03a24c75b99277a4856e39b0cf99006c66b0119f,03/03a24c75b99277a4856e39b0cf99006c66b0119f,35041,ogg,minecraft/sounds/mob/wandering_trader/reappeared1.ogg,entity.wandering_trader.reappeared,已由Minecraft Java 1.20.1 asset index解析
03a9d41d398c7f8f0314a856982c94901279474d,03/03a9d41d398c7f8f0314a856982c94901279474d,24966,ogg,minecraft/sounds/block/bamboo_wood_door/toggle1.ogg,block.bamboo_wood_door.close;block.bamboo_wood_door.open,已由Minecraft Java 1.20.1 asset index解析
03aba7c7a204507cbf56132cb04d36fcc3736e30,03/03aba7c7a204507cbf56132cb04d36fcc3736e30,24196,ogg,minecraft/sounds/mob/horse/skeleton/water/gallop4.ogg,entity.skeleton_horse.gallop_water,已由Minecraft Java 1.20.1 asset index解析
03c93b66376d940531b9dab0a938987766a971d9,03/03c93b66376d940531b9dab0a938987766a971d9,42964,ogg,minecraft/sounds/ambient/nether/nether_wastes/mood5.ogg,ambient.basalt_deltas.mood;ambient.nether_wastes.mood,已由Minecraft Java 1.20.1 asset index解析
03f59217fa2f8ca8820b1ee13187cedfd42d86ce,03/03f59217fa2f8ca8820b1ee13187cedfd42d86ce,29370,ogg,minecraft/sounds/mob/axolotl/idle2.ogg,entity.axolotl.idle_water,已由Minecraft Java 1.20.1 asset index解析
041f0695d89cb8ae810e6fa8c968828c7b6f14f2,04/041f0695d89cb8ae810e6fa8c968828c7b6f14f2,16504,ogg,minecraft/sounds/block/bamboo_wood_trapdoor/toggle3.ogg,block.bamboo_wood_trapdoor.close;block.bamboo_wood_trapdoor.open,已由Minecraft Java 1.20.1 asset index解析
04347dfff4ea5df00011f69bf793af2ae39dcdcd,04/04347dfff4ea5df00011f69bf793af2ae39dcdcd,27161,ogg,minecraft/sounds/block/suspicious_gravel/break4.ogg,block.suspicious_gravel.break,已由Minecraft Java 1.20.1 asset index解析
045fb18cd4b3481dea67e008a34e688fff8afc98,04/045fb18cd4b3481dea67e008a34e688fff8afc98,37295,ogg,minecraft/sounds/mob/warden/step_4.ogg,entity.warden.step,已由Minecraft Java 1.20.1 asset index解析
046116cb8bae23fb9ccd08664bea0ea1e6fa5b8c,04/046116cb8bae23fb9ccd08664bea0ea1e6fa5b8c,10553,ogg,,,未在Java 1.20.1 asset index中解析（可能来自其他版本/历史缓存）
04933f2f39e339e7ba0db0c21812cb9ff9bdce8c,04/04933f2f39e339e7ba0db0c21812cb9ff9bdce8c,8461,ogg,minecraft/sounds/mob/guardian/elder_hit1.ogg,entity.elder_guardian.hurt,已由Minecraft Java 1.20.1 asset index解析
049a3049a5ac8631a6c5f367b7d824fc0d8de39b,04/049a3049a5ac8631a6c5f367b7d824fc0d8de39b,26384,ogg,minecraft/sounds/mob/enderdragon/growl1.ogg,block.note_block.imitate.ender_dragon;entity.ender_dragon.ambient;entity.ender_dragon.growl;entity.parrot.imitate.ender_dragon,已由Minecraft Java 1.20.1 asset index解析
049c50db518e53da75d26ee8554adf0d62c2995a,04/049c50db518e53da75d26ee8554adf0d62c2995a,18235,ogg,minecraft/sounds/block/suspicious_gravel/place4.ogg,block.suspicious_gravel.place,已由Minecraft Java 1.20.1 asset index解析
049e77e98d26b42cb05252cceb5270c466ab2c81,04/049e77e98d26b42cb05252cceb5270c466ab2c81,40781,ogg,minecraft/sounds/mob/allay/item_taken2.ogg,entity.allay.item_taken,已由Minecraft Java 1.20.1 asset index解析
04bd48c4bdef83ca5d1cf04f121ebfea0d8ccc64,04/04bd48c4bdef83ca5d1cf04f121ebfea0d8ccc64,575108,json/text,,,未在Java 1.20.1 asset index中解析；本对象不是已识别OGG音频
04c43a7a9b7883538080f84bf5b4bcba0c8b9f8a,04/04c43a7a9b7883538080f84bf5b4bcba0c8b9f8a,143147,ogg,minecraft/sounds/ambient/nether/warped_forest/creak3.ogg,ambient.warped_forest.mood,已由Minecraft Java 1.20.1 asset index解析
04d00bc852751498fad759fe473fef917b51c55d,04/04d00bc852751498fad759fe473fef917b51c55d,29106,ogg,minecraft/sounds/mob/drowned/step3.ogg,entity.drowned.step,已由Minecraft Java 1.20.1 asset index解析
04d181f5f4d61d2215175a1e63e7caaf9b624ab2,04/04d181f5f4d61d2215175a1e63e7caaf9b624ab2,6573,ogg,minecraft/sounds/mob/vindication_illager/hurt2.ogg,entity.vindicator.hurt,已由Minecraft Java 1.20.1 asset index解析
04e72237ecdc6189492ba0f7ac51b8d2bb04feea,04/04e72237ecdc6189492ba0f7ac51b8d2bb04feea,22104,ogg,minecraft/sounds/block/nether_wood_door/toggle3.ogg,block.nether_wood_door.close;block.nether_wood_door.open,已由Minecraft Java 1.20.1 asset index解析
04fc1df879b3e9e0edf03bce26f8a285d412d0fc,04/04fc1df879b3e9e0edf03bce26f8a285d412d0fc,17001,ogg,minecraft/sounds/block/big_dripleaf/step1.ogg,block.big_dripleaf.fall;block.big_dripleaf.hit;block.big_dripleaf.step;block.small_dripleaf.fall;block.small_dripleaf.hit;block.small_dripleaf.step,已由Minecraft Java 1.20.1 asset index解析
050ee8116a49e7788e4191a22417b59b4eba8456,05/050ee8116a49e7788e4191a22417b59b4eba8456,15123,ogg,minecraft/sounds/block/pointed_dripstone/drip_lava4.ogg,block.pointed_dripstone.drip_lava,已由Minecraft Java 1.20.1 asset index解析
051771e490ab3e8bad5fd8efd92ff9ec712d0330,05/051771e490ab3e8bad5fd8efd92ff9ec712d0330,20653,ogg,minecraft/sounds/item/brush/brushing_gravel2.ogg,item.brush.brushing.gravel,已由Minecraft Java 1.20.1 asset index解析
0548e05cd3847e6d002e50a3ec4bf7735d9aa116,05/0548e05cd3847e6d002e50a3ec4bf7735d9aa116,584227,json/text,,,未在Java 1.20.1 asset index中解析；本对象不是已识别OGG音频
05568b990472f6921f03f9142b0042fbc343d406,05/05568b990472f6921f03f9142b0042fbc343d406,6695,ogg,minecraft/sounds/block/packed_mud/step6.ogg,block.packed_mud.fall;block.packed_mud.hit;block.packed_mud.step,已由Minecraft Java 1.20.1 asset index解析
0556f8b2dc424e7368b4ab9f8a315aa26982e3fc,05/0556f8b2dc424e7368b4ab9f8a315aa26982e3fc,7428,ogg,minecraft/sounds/entity/player/attack/knockback2.ogg,entity.player.attack.knockback,已由Minecraft Java 1.20.1 asset index解析
055a6b9cd0c8c8df2b7c5b2888101955563b7571,05/055a6b9cd0c8c8df2b7c5b2888101955563b7571,589146,json/text,,,未在Java 1.20.1 asset index中解析；本对象不是已识别OGG音频
05637f0776bdc29d678b0da8f2d735eba4906111,05/05637f0776bdc29d678b0da8f2d735eba4906111,19218,ogg,minecraft/sounds/block/muddy_mangrove_roots/step2.ogg,block.muddy_mangrove_roots.fall;block.muddy_mangrove_roots.hit;block.muddy_mangrove_roots.step,已由Minecraft Java 1.20.1 asset index解析
056393a33a9633685c3dc3be2887f5cbd7dbc63f,05/056393a33a9633685c3dc3be2887f5cbd7dbc63f,7779,ogg,minecraft/sounds/random/chestclosed.ogg,,已由Minecraft Java 1.20.1 asset index解析
057ab504f5f407ecca355b4b79a0e1c1f75060cf,05/057ab504f5f407ecca355b4b79a0e1c1f75060cf,19864,ogg,minecraft/sounds/block/chain/step1.ogg,block.chain.fall;block.chain.hit;block.chain.step,已由Minecraft Java 1.20.1 asset index解析
058c46ac658ac3657b31d5395ecec39bf1146b39,05/058c46ac658ac3657b31d5395ecec39bf1146b39,23374,ogg,minecraft/sounds/mob/phantom/bite1.ogg,entity.phantom.bite,已由Minecraft Java 1.20.1 asset index解析
058d2ec4e9346fb833357c84b45b41428dcc608a,05/058d2ec4e9346fb833357c84b45b41428dcc608a,47848,ogg,minecraft/sounds/mob/camel/dash4.ogg,entity.camel.dash,已由Minecraft Java 1.20.1 asset index解析
05baaf5ed0cbdab08292b3962e1b1385e13b9dba,05/05baaf5ed0cbdab08292b3962e1b1385e13b9dba,5285,ogg,minecraft/sounds/mob/pig/step1.ogg,entity.pig.step,已由Minecraft Java 1.20.1 asset index解析
05bb8272e6d747d0f94025d4078c2649a889c877,05/05bb8272e6d747d0f94025d4078c2649a889c877,60076,ogg,minecraft/sounds/ambient/underwater/additions/driplets2.ogg,ambient.underwater.loop.additions.rare,已由Minecraft Java 1.20.1 asset index解析
05f429069e65d78f7e6609d070a3f294cc3128ab,05/05f429069e65d78f7e6609d070a3f294cc3128ab,13330,ogg,minecraft/sounds/mob/cow/say3.ogg,entity.cow.ambient,已由Minecraft Java 1.20.1 asset index解析
0609325e1813f45bf6ba112172faa174f277c2ad,06/0609325e1813f45bf6ba112172faa174f277c2ad,28955,ogg,minecraft/sounds/block/shroomlight/step6.ogg,block.shroomlight.fall;block.shroomlight.hit;block.shroomlight.step,已由Minecraft Java 1.20.1 asset index解析
062fe49c03cb07421dd90819cd200dd4d490a11e,06/062fe49c03cb07421dd90819cd200dd4d490a11e,33366,ogg,minecraft/sounds/block/sculk_vein/break5.ogg,block.sculk_vein.break;block.sculk_vein.place,已由Minecraft Java 1.20.1 asset index解析
065a6eea7962b091faccbaffad8d34f9394779d3,06/065a6eea7962b091faccbaffad8d34f9394779d3,21062,ogg,minecraft/sounds/block/bamboo_wood/step3.ogg,block.bamboo_wood.fall;block.bamboo_wood.hit;block.bamboo_wood.step,已由Minecraft Java 1.20.1 asset index解析
0671f582b7c77b8cd33e82f8fdd6d1e95a7f6fb8,06/0671f582b7c77b8cd33e82f8fdd6d1e95a7f6fb8,18705,ogg,minecraft/sounds/mob/turtle/egg/jump_egg4.ogg,entity.zombie.destroy_egg,已由Minecraft Java 1.20.1 asset index解析
